"geometry_text","geometry","path_id","image_point_id","order_id","safety_avg","attractiveness_avg","business_avg","safety_stddev","attractiveness_stddev","safety_attr_diff","safety_max_diff","attr_max_diff","attractiveness_reason","safety_reason","rating_count","male_ratings","female_ratings","male_safety_avg","female_safety_avg","age_19_39_safety_avg","age_40_59_safety_avg","age_60_plus_safety_avg","age_19_39_safety_count","age_40_59_safety_count","age_60_plus_safety_count"
"POINT(964839.845 6467337.068)","0101000020110F00000AD7A3B0CF712D41AC1C5A44C2AB5841",26,2330,22,4.2,3.8,3.38,0.60,0.73,0.46,2,3,"Decently green; well-maintained|nice trees and buildings|green area|trees, bicycles, well-to-do|...|trees, small street|Nice street","Urban environment; decent road visibility; |fairly upmarket|well cared|people|busy; residential|...|nice residential area wth clear space for pedestrian and cars allike|nice buildings, small street|Nice street",13,4,7,4.00,4.29,4.25,4.00,NULL,8,3,0
"POINT(964833.25 6467367.489)","0101000020110F000000000080C2712D41A8C64BDFC9AB5841",26,2331,21,3.8,3.8,2.75,0.72,0.58,0.00,2,2,"High, good safety conditions|high purchasing power for restaurants|Not very much attractive|Gorgeous buildings|nice houses|High, good safety conditions","REsidential area|looks like a nice quiet housing area|good neighbourhood|Seems safe|quiet|REsidential area",12,5,5,3.40,4.00,3.83,3.50,NULL,6,4,0
"POINT(964826.577 6467397.928)","0101000020110F0000448B6C27B5712D411D5A647BD1AB5841",26,2332,20,4.2,3.9,3.06,0.66,0.68,0.25,2,2,"many trees|Nice street|trees, nice buildings|Beautiful buildings. Super architecture.|bueatiful buildings, space|lots of trees, bicycle lanes, smart, historical buildings|Buildings|nice buildings|tree; building|cleanliness;architecture|basic buildings|nice flats and trees, but could be greener","sidewalks are good|Nice street|nice buildings, small street|wide spaces; well-to-do residential area; presence of bicycles|Quiet street, nice area.|smart cars; neatly parked|Quieter|trees; green; more space|suburb|traffic signs;low traffic|highly residential|decent area, nice houses, but lots of dark corners",16,6,7,4.33,3.86,4.38,3.83,NULL,8,6,0
"POINT(964847.534 6467403.09)","0101000020110F0000B0726811DF712D415C8FC2C5D2AB5841",26,2340,19,4.2,4.0,3.20,0.63,0.67,0.20,2,2,"Nice residential area|It seems like a good place to lve in|Not very much attractive|Urban environment; some greenery; well-maintained|residential|architecture|trees;a lot of bikes; not that big traffic","wide roads; cycle space|Quite safe, residential area|Seems safe|Urban environment; traffic;|rich|residential|a lot of bikes;not that big traffic;open",10,4,4,3.75,4.75,4.33,4.00,NULL,6,2,0
"POINT(962583.866 6467560.368)","0101000020110F00001D5A64BB2F602D41DF4F8D17FAAB5841",16,1956,26,2.2,2.0,1.67,0.75,0.63,0.17,2,2,"building facades appear outdated; lack of nice views; lots of parked vehicles|crambed|dark;dull;narrow|Grey and boring; no places to walk or play;|dirtier; no greenery; bland colors and buildings","lack of street lighting; metal shutter on windows|Dark hallways|dark;dingy;'quiet;scary|Buildings look cheap; looks like a bad area;|no open windows; less human activity; dirtier",6,2,4,2.00,2.25,2.20,2.00,NULL,5,1,0
"POINT(962562.2 6467538.028)","0101000020110F00006666666604602D4183C0CA81F4AB5841",16,1955,27,3.4,3.2,3.75,1.00,1.03,0.25,3,3,"restaurants|Close to business, probably not so expensive but also not so lovely|crowded era |atmospheric; backalley; no green|i don't liek it|no vegetation very ugly facades.|Clean street and modern buildings|small street |mixture between old and new","grafitti|looks ok but maybe not so great at night because of a lack of passerby |resturants in the street |graffiti; many cars|it looks scary |graffiti and very gray area|Buildings seem modern and new|resturants in the era (crowded place) |mixture of older and new buildings",12,3,9,2.67,3.67,3.45,3.00,NULL,11,1,0
"POINT(964517.275 6465289.171)","0101000020110F0000CDCCCC8C4A6F2D41FCA9F14AC2A95841",19,2063,9,3.1,2.7,3.67,0.78,0.87,0.44,2,3,"new buildings; casino; many roads|some parts are not very nice|cramped; no sky|some parts are not very nice","lots of people; |looks safe|looks safe",9,6,2,3.33,3.00,3.13,3.00,NULL,8,1,0
"POINT(964496.407 6465291.313)","0101000020110F0000D34D62D0206F2D41273108D4C2A95841",19,2083,8,3.4,2.8,3.62,1.19,0.93,0.61,4,3,"ugly buildings |modern|nice; open; buildings; graffiti; messy|some of the buildings are attractive others look generic|architecture is basic|tall building are nice|Nice broad street|Little greenery; tall grey buildings; many roadworks; somewhat dirty|ugly old place|Colourful flats; buzzing intersection","police|openrdd|open; roads; cars; traffic|big streets/roads to cross could be dangerous|good infrastructure|lots of different roads, cars make you feel safer|Nice broad street|Tall buildings; traffic; high density|Looks like it is busy roads so there is likely plenty of people about",13,5,7,3.60,3.29,3.45,3.00,NULL,11,2,0
"POINT(964474.019 6465277.875)","0101000020110F0000355EBA09F46E2D4100000078BFA95841",19,2082,7,2.9,2.9,3.09,1.14,0.54,0.00,4,2,"looks cleaner and tidier|Traffic|Road; no space |fastfood|graffiti ","busy street, apartments and offices nearby|Busy traffic|Road|busy city road|hobo|graffiti, road works, cars ",11,5,5,2.60,3.40,3.00,2.00,NULL,10,1,0
"POINT(964336.924 6465198.889)","0101000020110F00002B8716D9E16D2D414260E5B8ABA95841",19,2074,2,3.6,3.2,3.43,0.94,0.89,0.36,3,3,"bypassers|There is a lot of art on the buildings and the street is decorated|beautiful; art|The art is nice effort and looks quite modern, I'm just not personally that fond of it.|nice colours|architecture is basic  |other businesses and busy street|Normal street|graffiti","gut feeling|The buildings and the street look clean and not too quiet|friendly; artsy;|There are numerous expensive cars parked, it suggests relative trust of the people living there. |busy|good infrastructure|average|Normal street|graffiti",14,6,5,3.33,3.60,3.64,3.00,NULL,11,2,0
"POINT(964309.99 6465183.619)","0101000020110F0000AE47E1FAAB6D2D412DB29DE7A7A95841",19,2075,1,2.8,2.3,2.36,0.94,0.99,0.52,3,3,"no nature; ugly same buildings|no tress or open space|Does not look nice|mess; photo on bleak day|dead-end road","dirty|general feeling of unsafety|Tall buildings; enclosed space; high density",25,12,11,3.00,2.73,2.85,2.80,NULL,20,5,0
"POINT(964321.665 6465029.524)","0101000020110F000048E17A54C36D2D414C37896181A95841",14,2972,21,2.8,2.2,2.71,0.81,0.66,0.58,3,2,"unattractive buildings; roads|constrution work; no trees; not a residencial neighborhood|contsruction work, lots of traffic|roads|road works|quite ugly roads, nothing interesting","traffic; roads|a lot of traffic; construction work|busy street, institutional buildings|traffic, roads|road works",17,6,4,3.00,2.25,2.80,3.00,NULL,10,6,0
"POINT(964363.715 6465214.484)","0101000020110F0000E17A146E176E2D4123DBF99EAFA95841",19,2073,3,4.0,3.5,4.00,0.77,1.21,0.55,2,3,"attractive designs|no trees|colorful; modern; clean|clean and tidy","busy|a lot of other shops etc|clean; rich; populated|Expensive cars; clean streets; well dressed people",11,4,5,4.00,4.00,4.13,3.67,NULL,8,3,0
"POINT(964390.393 6465230.212)","0101000020110F0000C74B37C94C6E2D417368918DB3A95841",19,2072,4,3.4,2.9,3.17,0.67,1.00,0.50,2,4,"Normal street|architecture is basic  |no nature|modern architecture; not my style|Construction|the picture area is devoid of attractive colours|good|looks more of a back road, not as eye catching|colourful|dark; blank; grey","Normal street|good infrastructure|lot of businesses more people|expensive cars; clean streets|New building; construction|the area looks quiet and not many people around if you get in trouble|good|lots of cars|narrow; dark|cars; dark",12,6,4,3.50,3.25,3.44,3.33,NULL,9,3,0
"POINT(964416.639 6465246.8)","0101000020110F00000C022B47816E2D41333333B3B7A95841",19,2071,5,3.2,2.7,2.85,0.83,0.85,0.54,2,3,"nice buldings|dirty, lack of plants |dirty; dehumanised; dark|only grey buildings and cars around|openess;traffic","closer to other shops|dark; backs; anonymous|witings on the walls|openess;clean;traffic",13,5,6,3.60,3.00,3.11,3.50,NULL,9,4,0
"POINT(964444.241 6465254.86)","0101000020110F00001D5A647BB86E2D41713D0AB7B9A95841",19,2070,6,3.0,2.8,2.85,1.08,1.17,0.23,4,4,"architecture is basic|colorful; dirty|dark not very pretty|art; colourful; space|Near intersection, more open space|no life|clean|building work, unfinished, road barriers|colourful, patterned, regular, graffiti|Normal street|ugly; gray","good infrastructure|busy; traffic|lots of cars|open; friendly; space|Ample pedestrian walkway|no window;no activity|good|busy area with lots of shops if one needs help|There are lots of businesses about to make you feel safe, road unsafe|traffic, junction, turning, pedestrians|Normal street|traffic",13,7,4,3.00,2.50,2.88,3.20,NULL,8,5,0
"POINT(964535.072 6465264.352)","0101000020110F00001B2FDD246E6F2D41022B8716BCA95841",19,2064,10,3.0,2.6,3.75,1.04,0.79,0.42,4,3,"level of dirt on the street|architecture is basic   |not the most eye catching, looks dirty|Normal street|space for parking cars|Hostels|building unattractive. roadworks|uniform, overcast, colour, traffic|dirty; garbage; men; drinking","level of dirt on the street|good infrastructure|busy with shops therefore lots of people walking round|Normal street|people and shops around|Good design, accomodation properties|casino, betting, unsafe for walking alone|parking; cars; pedestrians; wide; open|busy; dark; motels; homeless",12,5,5,3.40,2.80,3.38,2.33,NULL,8,3,0
"POINT(964556.951 6465244.302)","0101000020110F0000D578E9E6996F2D41CFF75313B7A95841",19,2065,11,2.1,1.6,2.14,1.10,0.74,0.50,4,2,"dirty;poverty;construction|homeless|squatters / homeless people|boarded up shops, homeless people|homeless group, littering, buildings on the left |Homeless|dirty roads; dubious activities? to the left|aged; grey; trash","poverty;dirty;messy;nightclub|busy street|squatters / homeless people|homeless group, littering|Homeless|homeless; clubs; dirty; graffiti",14,7,5,2.14,2.40,2.33,1.00,NULL,12,1,0
"POINT(964578.293 6465219.886)","0101000020110F000093180496C46F2D415839B4F8B0A95841",19,2066,12,2.5,2.0,3.09,1.29,0.77,0.45,4,2,"probably for the same reason as safety, the homelessness issue would make it less attractive for me|dirt and rubbish, untidy, road closed|Normal street|the street is too dirty and architecture is basic|Dirty; roadworks; no greenery; enclosed space; tall grey buildings|some buildings are colourful others are drab|construction; small; no space; |lack of plants |rubbish on floor|lack of plants ","looks like there is a homelessness issue|graffitti, closed buildings, road works, dirt and rubbish|Normal street|infrastructure is decent|Dirty; roadworks; many people loitering; traffic; shop types|well lit and lots of shops if help needed|construction; dark; traffic|cars on sidewalks|shops around|cars on sidewalks",11,4,6,3.25,2.00,2.44,2.50,NULL,9,2,0
"POINT(964598.927 6465197.376)","0101000020110F000077BE9FDAED6F2D414E621058ABA95841",19,2067,13,2.8,2.3,3.22,0.83,0.50,0.45,2,1,"porn; dirt; dark; cluttered|doesn't look very clean","porn; dirt; dark|A lot of trash around",9,5,3,2.60,2.67,2.86,2.50,NULL,7,2,0
"POINT(964292.535 6465018.906)","0101000020110F00001F85EB11896D2D416DE7FBB97EA95841",14,2971,20,3.1,2.6,2.62,1.19,1.12,0.46,4,4,"Road works, building works, road separated by barrier|just traffic|traffic; roadworks|fun buildings|historic and wealthy buildings|cool old buildings, lots of traffic|big building|road|historical place; clean roads; well maintained buildings|roads|old;monochrome|roadworks dont help the score, but again nothing ugly as such just nothing standing out","just traffic|underpass; traffic|curb; lanes|very well traveled streets, wide open and visible|cameras, busy street|police station|road|open space; lights|traffic;no pavements|narrow|Built up area and looks like there are or would be plenty of people around",13,4,6,3.25,2.83,3.44,2.33,NULL,9,3,0
"POINT(964264.112 6465006.049)","0101000020110F000062105839506D2D41E5D022837BA95841",14,2970,19,3.4,2.4,3.10,0.97,0.70,1.00,3,2,"not very nice|no nature; constructions; no colors|buildings","rubish, grafitis|police station|frequented|crosswalks; big footpaths; signs",10,4,3,4.00,2.33,3.50,3.00,NULL,8,1,0
"POINT(964226.635 6464997.607)","0101000020110F000052B81E45056D2D418716D96679A95841",14,2962,18,3.7,3.1,3.57,0.49,0.90,0.57,1,2,"big building|not clean enought|no trees, traffic hotspot|cool old buildings, some trees|too many roads and too much traffic|cuter","pocie station|near a station, not the safety to be at night|crowded|touristic, police cars, busy intersection|lots of people, wide space|better looks",7,1,3,4.00,3.33,3.60,4.00,NULL,5,1,0
"POINT(964164.206 6464965.988)","0101000020110F0000FED47869886C2D415A643B7F71A95841",14,2964,16,3.9,3.1,3.55,0.70,0.83,0.82,2,2,"cuter building|traffic|The buildings are nice and look better kept up with. |wide streets, trees, nice looking buildings|Fairly attractive buildings look nice|nice building|cool old buildings, some trees|spacious;luminous|Nice buildings with business, nice cars parked up","police|open, busy|The street is wider, there's more sidewalk space and more businesses|wide streets, lots of public|Fairly safe built up area|lot police cars|police cars, busy street, open space|police|Businesses and properties, plenty of people around",11,4,4,4.00,3.50,4.00,3.67,NULL,7,3,0
"POINT(964198.982 6464983.356)","0101000020110F000039B4C8F6CD6C2D4139B4C8D675A95841",14,2963,17,3.6,2.8,3.60,1.07,0.92,0.80,3,2,"appropriate architecture|wide road, good ambience","near police station|lot of police cars|Looks busy",10,5,2,4.00,2.00,3.71,3.00,NULL,7,2,0
"POINT(964136.974 6464951.239)","0101000020110F0000C520B0F2516C2D41A8C64BCF6DA95841",14,2965,15,3.1,2.6,3.14,0.90,0.98,0.57,2,3,"main road; drab civic buildings; construction; untidy; utilitarian|Pretty boring but not horrible","quiet at night; patchy light coverage; open; not much pedestrian space|Looks quite grey and boring but not dangerous",7,2,2,3.50,2.00,2.80,4.00,NULL,5,1,0
"POINT(964120.919 6464944.2)","0101000020110F0000022B87D6316C2D41CDCCCC0C6CA95841",14,2958,14,2.9,2.8,2.89,0.60,0.44,0.11,2,1,"railway station|road|building|traffic|a square, avergae looking building |old buildings; intersection|wide spaces, more attractive buildings, foliage","railway station|road|crosswalks; footpaths|openness|hotel nearby|busy;regular;mundane|wide, open roads, lots of people",9,4,2,3.00,2.00,2.67,3.50,NULL,6,2,0
"POINT(964112.223 6464965.352)","0101000020110F0000560E2D72206C2D41022B875671A95841",14,2966,13,3.3,2.8,3.00,0.89,0.46,0.50,2,1,"little to see","too many hotels",8,3,2,2.67,3.00,3.20,3.00,NULL,5,2,0
"POINT(964094.335 6464990.927)","0101000020110F0000B81E85ABFC6B2D41CFF753BB77A95841",14,2967,12,3.8,3.2,3.83,0.58,0.72,0.66,2,2,"cute|buildings looks ok|nothing stands out just a street|Open towards intersection. |café, shops nearby|clean; nice restaurants|manicured","upscale|openness|hotels = 24 hour concierge|Busy street.|café, shops nearby|clean; nice restaurants|curb; no tram; line on road|cared for, well lit",12,3,5,3.67,3.80,3.78,4.00,NULL,9,2,0
"POINT(964079.807 6465018.54)","0101000020110F0000A01A2F9DDF6B2D41295C8FA27EA95841",14,2968,11,2.6,2.5,2.82,0.67,0.69,0.09,2,2,"not very nice|old houses, its cool but they are not in the best condition|Slightly varied; still city-like so relatively ugly","grafitis|lots of houses|Graffiti; low visibility",11,4,4,2.25,2.75,2.50,3.00,NULL,8,2,0
"POINT(964033.326 6465017.813)","0101000020110F0000D578E9A6826B2D41273108747EA95841",14,2956,9,3.3,3.2,3.19,0.70,0.83,0.12,2,2,"ugly buildings; no trees|nice buildings|trees; greenery; nice buildings; nice views down the street; opens up onto a square; clean; no graff|trees; greenery; nice buildings; nice views down the street; opens up onto a square; clean; no graff","clean streets; not a lot of traffic|grafitis|open; clean; metal bars on windows; |open; clean; metal bars on windows; ",16,6,6,3.67,2.83,3.33,3.33,NULL,12,3,0
"POINT(963981.109 6464984.005)","0101000020110F000017D9CE371A6B2D4185EB510076A95841",14,2954,7,3.2,2.5,2.50,0.79,0.85,0.70,2,3,"No greenery; little variety|its not ugly but there is nothing about it that makes it stick out as attractive to me|no nature","Seems like plenty of people around as there are cars around|frequented",10,3,3,2.67,3.00,3.13,3.00,NULL,8,1,0
"POINT(964006.57 6465002.024)","0101000020110F00003D0AD7234D6B2D414C3789817AA95841",14,2955,8,3.1,2.9,3.14,0.92,0.92,0.14,3,3,"nice buildings; trees; nice view down street; narrow; dominated by cars;|busy;narrow;noisy|traffic|The buildings are nice. |attractive architecture|nice buildings; trees; nice view down street; narrow; dominated by cars;|cute building|not very attractive buidlings|cars; no space; no green|nice cars; clean roads|too much cars|beautiful buildings |color, not very safe","bars on windows; lots of cars; busy; narrow; people; no graffiti; clean;|busy, croweded|Busy street, seems safe enough.|clean streets, orderly looking |bars on windows; lots of cars; busy; narrow; people; no graffiti; clean;|more closed|back streets but lots of people|small footpath; parked cars|proper parking; rich cars|lot of people|it is an urban area thar=t is very crowded|small; tram; road; no curb; wires",14,7,3,2.86,2.67,3.00,3.00,NULL,12,1,0
"POINT(963954.119 6464968.121)","0101000020110F00006891ED3CE46A2D41C976BE0772A95841",14,2953,6,3.1,2.4,2.41,0.66,0.71,0.65,2,3,"Ugly; no variety; no greenery|simple houses|Very packed street with buildings|The buildings are basic but not ugly. |road; no nature|old;dark|Not a lot of colour but clean at least|the buildings are new and beautiful|nothing attractive that stands out|lot of cars|not very attractive|nice buildings; no trees; no greenery; dark; narrow;|The buildings are nice, but not very well kept |nice buildings; no trees; no greenery; dark; narrow;","Barely visible; tram line; little lighting|crowdedness|Trams and busy roads|Regular street, the surroundings seem safe. |road; not residential|cluttered|Looks like a better area, looks sort of clean|it is a place where there are a lot of people and cars |doesn't look too busy|seems safe|back street but populated|narrow; dark; metal shutters; nice cars; pavement/sidewalk on both sides; |There seems little side walk space, doesn't look like it's in the city centre. |narrow; dark; metal shutters; nice cars; pavement/sidewalk on both sides; ",17,9,4,3.00,2.75,3.08,3.00,NULL,13,3,0
"POINT(963876.098 6464988.259)","0101000020110F0000560E2D32486A2D41BC74931077A95841",14,2960,2,3.0,2.8,3.36,0.77,0.75,0.18,2,2,"cute restaurants|Normal, boring street. |there's businesses and transpot nearby, buiding's are nice enough|narrow streets with high, rather unattractive modern buildings|no trees, just houses","not residential|It looks reasonably safe.|there's businesses and transpot nearby|It's a well populated area but still appears a bit of a back street|ok to pass by",11,3,5,3.33,2.60,3.13,2.50,NULL,8,2,0
"POINT(963860.55 6465015.191)","0101000020110F00009A999919296A2D41105839CC7DA95841",14,2959,1,3.4,2.7,3.45,0.62,0.81,0.72,2,3,"dark; no greenery; buildings on right hand side are ugly; |dark; no greenery; buildings on right hand side are ugly; |bland|dark; no greenery; buildings on right hand side are ugly; |nice buildings; large street|dark; no greenery; buildings on right hand side are ugly; ","clean; lots of cars; some shops/restaurants; pavements/sidewalks; |clean; lots of cars; some shops/restaurants; pavements/sidewalks; |clean; lots of cars; some shops/restaurants; pavements/sidewalks; |openness; shop|clean; lots of cars; some shops/restaurants; pavements/sidewalks; ",29,16,8,3.38,3.50,3.43,3.20,NULL,23,5,0
"POINT(963892.433 6464961.888)","0101000020110F00000E2DB2DD686A2D41F4FDD47870A95841",14,2961,3,2.9,2.8,3.20,0.59,0.77,0.13,2,3,"same than before but on a square|dark; no greenery; buildings on right hand side are ugly; no trees; |too many hotels|crossroads; tram","clean; lots of cars; some shops/restaurants; pavements/sidewalks; |average|tram; no crossings",15,11,1,3.09,2.00,3.00,3.00,NULL,12,2,0
"POINT(963899.246 6464938.116)","0101000020110F000046B6F37D766A2D41448B6C876AA95841",14,2951,4,3.1,2.9,3.77,0.86,0.86,0.16,3,2,"bland|close to modern city centre; attractive architecture|wide;bland|concrete|buildings are nice|no trees, just buildings|uninviting buildings|well kept|It is in an intersection, so i think it can be good to start a business. |it's not ugly but there's not much to it","road|clean neighbourhood|junction|traffic|seems pretty safe|calm street|busy intersection|open|Busy intersection, seems safe enough.|big wide streets, lots of activity",13,5,5,3.00,3.00,3.11,3.00,NULL,9,3,0
"POINT(963927.055 6464952.529)","0101000020110F0000C3F5281CAE6A2D41D122DB216EA95841",14,2952,5,3.0,2.5,2.50,0.76,0.76,0.50,2,2,"Not much to explore|classic architecture; recently decorated buildings; neat","Looks very quite place|overlooked; businesses nearby; tramline",8,3,2,2.67,2.50,2.83,3.00,NULL,6,1,0
"POINT(964061.555 6465030.973)","0101000020110F0000C3F5281CBB6B2D41CBA145BE81A95841",14,2957,10,2.7,2.0,2.73,0.79,0.63,0.73,2,2,"tag|crossroads|not very attractive buildings|very urban|the buildings are not really good|Grafitti, road works, closed buildings|graffiti all over the building|ugly|The vandalism. ","openess; crowd|crossroads|back streets|crowded and busy|there are alot of people|Many closed buildings, graffiti|road|Busy, regular street.",11,4,3,2.75,2.33,2.86,2.33,NULL,7,3,0
"POINT(963413.881 6465433.022)","0101000020110F0000986E12C3AB662D41B0726841E6A95841",18,2989,16,3.5,3.3,3.40,0.83,1.03,0.26,3,3,"bland city high rise buildings |modern,high-rise buildings;commercial;busy|Attendance;place|Attendance;place|modern architecture|lots of buildings|Tarmac, Trees, Clean|cold modern buildings|open space; greenery; busy road|Good foliage with good spacing between architectural buildings|bright|Beautiful architecture|Not the most attractive buildings but ok","very open |busy;commercial;not residential|Attendance;place|Attendance;place|openness, busy|traffic lights; zebra crossings|Bike lane; Walking paths, Open, Clean, Public|openess|busy area; traffic|Increase in people and open spaces|clean ; new buildings|Lots of fancy buildings |Lots of vehicle traffic",15,8,3,3.63,2.67,3.45,4.00,NULL,11,2,0
"POINT(963390.732 6465465.741)","0101000020110F000039B4C8767D662D41448B6C6FEEA95841",18,2973,18,3.8,3.7,3.45,0.97,0.99,0.10,3,3,"Attendance;buildings|Attendance;place|Attendance;buildings|a little bit of green|Foliage increase|large place; trees; architecture; but not enough infrastructure for users other than cars|Attendance;place|nice modern buildings but no color; clean; some greenery|nice roads|bright ; trees|Beautiful buildings with complimenting colours|bycicle;activity;offices;modern|Greenness","Attendance;buildings|Attendance;place|Attendance;buildings|still too open but better|Clear open vistas with little or no overdevelopment|Good to be close to a park and next to interesting technical areas|not safe bike lane; not enough car's limitation for an urban street|Attendance;place|clean; busy streets; nice buildings|a lot of habitation and road signs|clear spaces ; light |Lots of people and buildings/activity|center;buildings;workplaces;activity|Openness; Lighting",20,12,4,3.67,3.00,3.62,4.00,NULL,13,7,0
"POINT(963398.696 6465459.147)","0101000020110F0000AC1C5A648D662D41B07268C9ECA95841",18,2990,17,3.9,3.7,3.90,0.88,0.95,0.20,2,3,"no chracter|buildings|Trees, green area, impressive buildings.|architecture; cleanliness|Green; clean|Everything looks modern and clean, those buildings seem new","not many people;no shops;no transport|traffic|Area looks smart and well maintained.|Good bike routes next to road, clear signage and street signs|busy; carlanes; |Nice roads|lots of big buildings|It looks like somewhere in a 1st world country so it can't be very unsafe",10,3,5,4.00,3.60,4.00,3.00,NULL,9,1,0
"POINT(963420.708 6465402.686)","0101000020110F0000DBF97E6AB9662D418B6CE7ABDEA95841",18,2988,15,3.9,3.5,3.50,1.25,1.07,0.38,4,3,"spaced out street, nice vibe|businesses;skyscrapers;clean;activity|skyscrapers|wouldnt want to be there","quiet|workplace;skyscraper;transportation|Clear, wide roads with good signage|pedestrians|very open; feels uncomfortable",8,4,1,4.25,1.00,3.60,4.50,NULL,5,2,0
"POINT(963423.386 6465386.46)","0101000020110F0000C1CAA1C5BE662D41D7A3709DDAA95841",18,2986,14,3.4,3.2,3.50,0.97,0.92,0.20,3,2,"bright ; clear ; clean|too basic|well designed buildings|clean|Attendance;place|intersting architecture, mixed with foliage, some lack of pedestrianisation","bright ; clean |business centre, hotels|big roads to cross|open space, lots of light|Attendance;place|clear road, good signage",10,4,3,2.75,4.00,3.50,3.00,NULL,6,3,0
"POINT(963430.027 6465355.547)","0101000020110F0000AAF1D20DCC662D414A0C02E3D2A95841",18,2985,13,3.7,3.2,3.33,0.71,0.97,0.45,2,2,"nice architecture; trees|buildings","big sidewalks; bike path a bit small|traffic|clean, well-swept; places to sit; variety of individuals around",9,3,3,3.33,3.33,3.67,3.50,NULL,6,2,0
"POINT(963424.462 6465326.494)","0101000020110F000096438BECC0662D412DB29D9FCBA95841",18,2994,12,3.7,3.2,4.00,0.71,1.20,0.45,2,4,"bright ; new|nice roads|modern ugly buildings|interesting and compelling architecture|It has more variety and greenery than the average city spot|no character;no greenery","clean ; new|a lot of habitation and road signs|pedestrian crossing |pedestrian zones|The area seems safe because there is sufficient lighting",9,4,2,3.25,3.50,3.67,NULL,NULL,9,0,0
"POINT(963440.243 6465298.145)","0101000020110F0000FA7E6A7CE0662D4114AE4789C4A95841",18,2983,11,3.8,3.0,3.13,0.68,0.73,0.75,3,2,"Attendance;place|no place to rest; no park|clean|Attendance;place|cars;shops;circulation","Attendance;place|gut feeling; broad sidewalks. modern buildings|busy enough|Attendance;place|officer;clean;center",16,9,4,3.78,3.50,3.64,4.00,NULL,11,4,0
"POINT(963454.212 6465205.935)","0101000020110F000096438B6CFC662D413D0AD77BADA95841",18,2980,8,3.2,2.4,3.44,0.67,0.73,0.78,2,2,"lots of different buildings|bright ; active|more foliage and architecturally well styled buildings|ugly buildings;minimal greenery|There are nice buildings but also there is some construction going on (negative aesthetics )|built up; slim roads|building site","wide roads; open spaces|clean ; new cars |pedestrianisation; clearly defined road markings|not many people around;no shops|The buildings could be potential targets for thieves |busy; high traffic area|openness, busy",9,4,3,3.50,3.00,3.13,4.00,NULL,8,1,0
"POINT(963456.627 6465174.852)","0101000020110F0000DD24064101672D41022B87B6A5A95841",18,2979,7,3.3,2.8,3.00,0.79,1.05,0.50,2,3,"buildings|nice roads|construction; view; skyscrapers|Nice buildings|building site|Modern and clean but too much concrete|These buildings aren't as attractive and the building work is unsightly.|Bleek; Boring; Concrete","traffic|a lot of habitation|construction; remote;|clean; organised|openess|Expensive buildings, no bars on windows|There are businesses and people around, prosperity and development.|Lightning; Unfriendliness; Construction site",16,7,4,3.00,3.75,3.45,3.00,NULL,11,3,0
"POINT(963506.184 6465036.514)","0101000020110F00007D3F355E64672D414260E52083A95841",18,2974,2,2.6,2.6,2.50,1.19,0.74,0.00,3,2,"modern buildings; construction; industrial; no greenery|construction ; industrial place|Same reasons|High-rise'; brutalist","less industrial; big streets/traffic|industrial|Cause a lot of buildings and surely persons|Construction|not good bike infrastructure; gaz pipeline that can be  breake by an hygh truck|windy; loud",8,3,3,3.00,2.33,2.43,4.00,NULL,7,1,0
"POINT(963483.374 6465052.169)","0101000020110F000091ED7CBF36672D4160E5D00A87A95841",18,2987,3,2.9,2.2,2.86,0.86,0.97,0.65,2,3,"pollution;buildings without character|ugly corporate buildings |Same as before; busy traffic; little pedestrianisation|just a street, nothing special","very empty|business buildings, bank",14,6,5,3.00,3.00,2.90,3.00,NULL,10,3,0
"POINT(963464.728 6465081.771)","0101000020110F00007F6ABC7411672D41621058718EA95841",18,2976,4,3.6,3.2,3.44,0.89,1.17,0.44,3,4,"new buildings|Tress; clean|Same reasons|foliage; architectural attractiveness|office buildings|businessdistrict; greenness|no traffic, spaced out street|business;shopping;modern|ugly modern architecture ; no open space|nice roads|modern buildings; offices; trees|not busy enough; no parking spots","clean ; bright |Openness; clean|Density of urban structures|More pedestrianisation; less traffic|seems to be safe. Broad sidewalks|bicyclepath; trafficdensity|looks peaceful; looks quiet|busy;business;not residential|a lot of habitation|visibility; sidewalk|empty",16,8,2,3.50,4.00,3.67,3.50,NULL,12,2,0
"POINT(963460.558 6465112.616)","0101000020110F00000E2DB21D09672D41448B6C2796A95841",18,2977,5,3.3,3.3,3.67,1.22,1.22,0.00,4,4,"well designed buildings|large street; trees; architecture|nice buildings and clean|clean street ; new cars ; new buildings |The architecture isn't to my taste.|pretty buildings; trees","Density of persons|busy and well populated if needing help|not good bike infrastructure or walkway|lots of people and light|It's on a very busy road.|no crosswalk",9,4,3,3.75,2.67,3.33,3.33,NULL,6,3,0
"POINT(963458.709 6465143.757)","0101000020110F00004A0C026B05672D4121B072F09DA95841",18,2978,6,3.8,3.0,3.90,0.92,0.94,0.80,3,3,"Not the most attractive buildings but ok|Too much ?!...|architecturally sound|It's standard city-like so pretty average|Too much ?!...|bright|parking spots, hotels, only business|modern architecture","Some traffic but has enough area for pedestrians|many nice hotels|Density of buildings|less traffic; more pedestrianisation|It seems like a public place with sufficient lighting|Density of buildings|clean ; new|businesses have CCTV but also more trouble|lot of cars ",10,4,3,4.25,3.33,3.71,4.00,NULL,7,2,0
